È ò å ð à ö è ÿ : | | 0
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[ 0. 10.  0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[ 0. 10.  0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[ 0. 10.  0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[ 0. 10.  0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
È ò å ð à ö è ÿ : | | 1
|[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]|
|[0.         1.66666667 0.        ]| |[1.66666667 0.         1.66666667]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[1.66666667 0.         1.66666667]| |[0.         1.66666667 0.        ]|
|[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]|
|[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]|
|[0.         1.66666667 0.        ]| |[1.66666667 0.         1.66666667]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[1.66666667 0.         1.66666667]| |[0.         1.66666667 0.        ]|
|[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0. 0. 0.]| |[0.         1.66666667 0.        ]| |[0. 0. 0.]|
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
